nameWithOwner,url,createdAt,updatedAt,stargazers,pullRequests,acceptedPullRequests,releases,primaryLanguage,totalIssues,closedIssues
goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,2017-09-15,2022-02-20,75235,846,716,0,JavaScript,291,261
PanJiaChen/vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,2017-04-17,2021-12-07,74195,545,313,49,Vue,3344,2290
animate-css/animate.css,https://github.com/animate-css/animate.css,2011-10-12,2022-02-15,73724,660,304,22,CSS,809,793
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,2014-08-09,2022-02-12,73130,1247,842,0,Java,693,474
tensorflow/models,https://github.com/tensorflow/models,2016-02-05,2022-02-18,72831,3586,2214,21,Python,6787,5658
MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,2018-12-06,2022-01-12,69020,73,63,0,Java,54,42
microsoft/PowerToys,https://github.com/microsoft/PowerToys,2019-05-01,2022-02-18,68911,3398,3024,55,C#,13033,10805
storybookjs/storybook,https://github.com/storybookjs/storybook,2016-03-18,2022-02-19,68894,7980,6278,965,TypeScript,8708,7135
laravel/laravel,https://github.com/laravel/laravel,2011-06-08,2022-02-17,68723,4165,1400,98,PHP,0,0
FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,2012-02-17,2022-02-18,68709,635,187,44,JavaScript,17970,12225
nvbn/thefuck,https://github.com/nvbn/thefuck,2015-04-08,2022-01-30,66873,614,466,17,Python,626,434
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,2016-07-05,2022-02-19,66227,214,168,0,JavaScript,45,38
ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,2016-11-25,2021-05-23,64132,248,146,0,JavaScript,117,78
vuejs/awesome-vue,https://github.com/vuejs/awesome-vue,2015-10-20,2022-02-17,64001,3603,3269,0,,204,179
gothinkster/realworld,https://github.com/gothinkster/realworld,2016-02-26,2021-12-22,63870,291,217,0,Shell,485,437
rust-lang/rust,https://github.com/rust-lang/rust,2010-06-16,2022-02-20,63625,51360,38575,95,Rust,42626,34786
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,2017-04-12,2022-01-28,63136,274,174,0,,49,38
django/django,https://github.com/django/django,2012-04-28,2022-02-19,62459,15399,7193,0,Python,0,0
moby/moby,https://github.com/moby/moby,2013-01-18,2022-02-18,62247,21885,17104,101,Go,21267,17332
tonsky/FiraCode,https://github.com/tonsky/FiraCode,2014-11-11,2022-02-09,62119,161,116,29,Clojure,1159,865
bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,2010-12-19,2022-02-20,62034,16866,11293,36,C++,6740,6122
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,2017-11-21,2022-02-18,61479,286,50,26,C,2725,1831
webpack/webpack,https://github.com/webpack/webpack,2012-03-10,2022-02-17,60503,5584,4106,375,JavaScript,8862,8675
doocs/advanced-java,https://github.com/doocs/advanced-java,2018-10-06,2022-02-20,60422,101,64,1,Java,123,120
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,2018-06-23,2022-02-13,60248,189,105,0,,135,100
opencv/opencv,https://github.com/opencv/opencv,2012-07-19,2022-02-19,59803,12891,10400,57,C++,8675,6720
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,2012-10-19,2022-02-19,59720,5104,41,122,Java,24557,23995
typicode/json-server,https://github.com/typicode/json-server,2013-11-27,2022-02-17,59669,305,100,10,JavaScript,982,444
angular/angular.js,https://github.com/angular/angular.js,2010-01-06,2021-12-09,59531,7998,788,0,JavaScript,9035,8645
apple/swift,https://github.com/apple/swift,2015-10-23,2022-02-20,58739,41349,36168,38,C++,0,0
elastic/elasticsearch,https://github.com/elastic/elasticsearch,2010-02-08,2022-02-20,58562,54771,47025,75,Java,29182,25863
hakimel/reveal.js,https://github.com/hakimel/reveal.js,2011-06-07,2022-02-10,58511,948,355,36,JavaScript,2087,1483
huggingface/transformers,https://github.com/huggingface/transformers,2018-10-29,2022-02-18,58373,6973,5627,87,Python,8714,8366
thedaviddias/Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,2017-10-16,2021-10-29,58204,283,169,1,,130,129
pallets/flask,https://github.com/pallets/flask,2010-04-06,2022-02-19,58018,2110,1299,16,Python,2261,2249
netdata/netdata,https://github.com/netdata/netdata,2013-06-17,2022-02-20,57744,5602,4921,51,C,6508,6329
reduxjs/redux,https://github.com/reduxjs/redux,2015-05-29,2022-02-19,57518,2271,1493,66,TypeScript,1936,1897
gohugoio/hugo,https://github.com/gohugoio/hugo,2013-07-04,2022-02-19,57196,3620,1584,178,Go,5807,5167
atom/atom,https://github.com/atom/atom,2012-01-20,2022-02-09,56832,5199,3919,536,JavaScript,16863,16075
kdn251/interviews,https://github.com/kdn251/interviews,2017-02-14,2020-06-06,56261,151,42,0,Java,47,18
chartjs/Chart.js,https://github.com/chartjs/Chart.js,2013-03-17,2022-02-19,56224,3362,2594,86,JavaScript,6329,6206
macrozheng/mall,https://github.com/macrozheng/mall,2018-04-04,2022-02-20,56086,86,0,1,Java,415,395
sveltejs/svelte,https://github.com/sveltejs/svelte,2016-11-20,2022-02-19,56086,2949,2294,0,TypeScript,4202,3649
expressjs/express,https://github.com/expressjs/express,2009-06-26,2022-02-17,56018,1068,235,144,JavaScript,3662,3553
jquery/jquery,https://github.com/jquery/jquery,2009-04-03,2022-01-31,55873,2740,543,2,JavaScript,2162,2091
gin-gonic/gin,https://github.com/gin-gonic/gin,2014-06-16,2022-02-14,55732,1273,790,20,Go,1771,1386
nvm-sh/nvm,https://github.com/nvm-sh/nvm,2010-04-15,2022-02-08,55530,959,649,60,Shell,1712,1426
xingshaocheng/architect-awesome,https://github.com/xingshaocheng/architect-awesome,2018-04-06,2020-08-25,55435,78,49,0,,65,19
socketio/socket.io,https://github.com/socketio/socket.io,2010-03-11,2022-01-25,55262,809,407,47,TypeScript,3165,3047
adam-p/markdown-here,https://github.com/adam-p/markdown-here,2012-05-13,2018-09-30,54451,75,20,11,JavaScript,589,307
pytorch/pytorch,https://github.com/pytorch/pytorch,2016-08-13,2022-02-20,54090,48439,4998,38,C++,24566,16897
keras-team/keras,https://github.com/keras-team/keras,2015-03-28,2022-02-19,54010,4974,2564,35,Python,11094,10868
shadowsocks/shadowsocks-windows,https://github.com/shadowsocks/shadowsocks-windows,2013-01-14,2021-04-26,53884,475,278,55,C#,2755,2685
tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,2017-10-06,2022-02-20,53797,1665,1298,191,JavaScript,2135,2092
redis/redis,https://github.com/redis/redis,2009-03-21,2022-02-20,53593,4922,2558,27,C,5257,3659
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,2015-03-18,2022-02-19,53443,2179,1756,0,HTML,0,0
fatedier/frp,https://github.com/fatedier/frp,2015-12-21,2022-02-19,53424,543,360,68,Go,2253,2159
josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,2014-07-15,2022-01-10,53263,759,718,0,Python,72,72
papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,2013-12-15,2022-01-28,53220,472,396,0,Shell,149,123
protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,2014-08-26,2022-02-18,53120,4629,3447,91,C++,4839,3903
chrislgarry/Apollo-11,https://github.com/chrislgarry/Apollo-11,2014-04-03,2022-02-02,52510,469,302,0,Assembly,371,313
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,2016-05-04,2022-01-27,52509,27,14,15,Python,2045,2027
gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,2015-05-21,2022-02-18,52391,19645,16192,104,JavaScript,13273,13141
h5bp/html5-boilerplate,https://github.com/h5bp/html5-boilerplate,2010-01-24,2022-02-14,52371,1402,574,32,JavaScript,1245,1239
mtdvio/every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,2017-08-24,2021-04-19,52369,141,86,0,,34,17
h5bp/Front-end-Developer-Interview-Questions,https://github.com/h5bp/Front-end-Developer-Interview-Questions,2012-02-09,2022-02-16,52297,584,398,0,Nunjucks,121,117
lodash/lodash,https://github.com/lodash/lodash,2012-04-07,2021-04-23,52274,1258,573,2,JavaScript,3966,3742
ansible/ansible,https://github.com/ansible/ansible,2012-03-06,2022-02-18,52200,46715,34663,3,Python,30121,29085
coder/code-server,https://github.com/coder/code-server,2019-02-27,2022-02-18,51764,1213,956,70,TypeScript,2766,2524
ElemeFE/element,https://github.com/ElemeFE/element,2016-09-03,2022-01-04,51690,4793,3157,138,Vue,16886,14918
kelseyhightower/nocode,https://github.com/kelseyhightower/nocode,2018-02-06,2020-01-21,51532,563,1,1,Dockerfile,4227,544
neovim/neovim,https://github.com/neovim/neovim,2014-01-31,2022-02-21,50969,9722,6394,25,Vim script,7677,6506
resume/resume.github.com,https://github.com/resume/resume.github.com,2011-02-06,2016-08-05,50793,180,84,0,JavaScript,93,56
rails/rails,https://github.com/rails/rails,2008-04-11,2022-02-20,50192,28882,19280,57,Ruby,15381,15024
home-assistant/core,https://github.com/home-assistant/core,2013-09-17,2022-02-21,49977,39657,33404,885,Python,26933,25683
apache/echarts,https://github.com/apache/echarts,2013-04-03,2022-02-18,49927,1321,965,97,TypeScript,15191,13247
Semantic-Org/Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,2013-04-08,2018-10-21,49871,875,351,153,JavaScript,6179,5239
Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,2016-03-30,2021-07-31,49458,80,25,0,,0,0
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,2010-08-17,2022-02-19,49087,12916,8540,26,Python,9182,7508
florinpop17/app-ideas,https://github.com/florinpop17/app-ideas,2019-02-25,2020-07-07,48159,439,149,0,,74,31
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,2016-07-17,2022-02-13,47778,694,595,1,JavaScript,313,233
awesomedata/awesome-public-datasets,https://github.com/awesomedata/awesome-public-datasets,2014-11-20,2021-06-08,47546,328,188,0,,97,46
grafana/grafana,https://github.com/grafana/grafana,2013-12-11,2022-02-19,47093,21214,18053,270,TypeScript,23198,21226
leonardomso/33-js-concepts,https://github.com/leonardomso/33-js-concepts,2018-09-04,2021-11-01,47087,171,135,0,JavaScript,39,32
scutan90/DeepLearning-500-questions,https://github.com/scutan90/DeepLearning-500-questions,2018-06-27,2021-10-14,47082,335,302,0,JavaScript,177,80
enaqx/awesome-react,https://github.com/enaqx/awesome-react,2014-08-06,2022-02-11,47006,1191,763,0,,82,68
psf/requests,https://github.com/psf/requests,2011-02-13,2022-02-19,46928,2260,1433,2,Python,3533,3367
iptv-org/iptv,https://github.com/iptv-org/iptv,2018-11-14,2022-02-20,46800,3985,3596,0,JavaScript,2083,1798
necolas/normalize.css,https://github.com/necolas/normalize.css,2011-05-04,2018-11-05,46708,380,56,0,CSS,485,447
azl397985856/leetcode,https://github.com/azl397985856/leetcode,2018-03-30,2022-02-20,46575,271,225,39,JavaScript,232,226
godotengine/godot,https://github.com/godotengine/godot,2014-01-04,2022-02-20,46471,25296,20208,36,C++,32101,26234
ionic-team/ionic-framework,https://github.com/ionic-team/ionic-framework,2013-08-20,2022-02-18,46394,4883,3299,277,TypeScript,19713,19095
moment/moment,https://github.com/moment/moment,2011-03-01,2021-02-21,46278,1993,709,0,JavaScript,3948,3800
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,2010-12-08,2022-02-19,46224,3661,709,222,Java,21662,20571
remix-run/react-router,https://github.com/remix-run/react-router,2014-05-16,2022-02-18,46104,2220,1358,170,TypeScript,6294,6237
sdmg15/Best-websites-a-programmer-should-visit,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,2017-03-05,2021-12-15,45931,1159,338,0,,76,56
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,2013-01-08,2022-02-10,45776,3670,3062,227,Java,3080,3070
DopplerHQ/awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,2015-11-28,2021-11-16,45189,209,175,0,,29,28
jgthms/bulma,https://github.com/jgthms/bulma,2016-01-23,2022-02-10,45137,1056,581,16,CSS,2383,2172
google/material-design-icons,https://github.com/google/material-design-icons,2014-10-08,2022-01-08,45107,123,35,16,,1078,878
nestjs/nest,https://github.com/nestjs/nest,2017-02-04,2022-02-18,44724,4940,3737,62,TypeScript,4025,3970
apache/superset,https://github.com/apache/superset,2015-07-21,2022-02-21,44500,10187,8280,68,TypeScript,7740,6875
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,2016-07-16,2022-02-20,44418,2305,721,0,Java,606,598
GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05,2022-02-20,44174,15,0,0,Java,220,145
jekyll/jekyll,https://github.com/jekyll/jekyll,2008-10-20,2022-02-10,44138,4212,2989,101,Ruby,4519,4430
tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,2014-08-12,2022-02-19,44028,1447,1258,20,C++,2276,1930
sindresorhus/awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,2014-07-11,2022-02-15,43840,1035,386,0,,94,94
google/guava,https://github.com/google/guava,2014-05-29,2022-02-18,43679,1258,356,34,Java,3331,2684
mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,2014-11-01,2022-02-20,43669,1064,887,84,JavaScript,1686,1109
NARKOZ/hacker-scripts,https://github.com/NARKOZ/hacker-scripts,2015-11-21,2020-09-07,43500,141,62,0,JavaScript,71,37
strapi/strapi,https://github.com/strapi/strapi,2015-09-30,2022-02-18,43237,5507,4339,213,JavaScript,6111,5592
soimort/you-get,https://github.com/soimort/you-get,2012-08-20,2022-02-12,43152,991,549,114,Python,0,0
ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,2017-03-03,2021-06-14,43148,191,87,2,Python,1205,557
syncthing/syncthing,https://github.com/syncthing/syncthing,2013-11-26,2022-02-14,43005,3381,2092,287,Go,4781,4491
python/cpython,https://github.com/python/cpython,2017-02-10,2022-02-20,42908,31396,25202,0,Python,0,0
scrapy/scrapy,https://github.com/scrapy/scrapy,2010-02-22,2022-02-16,42839,2784,1769,22,Python,2581,2086
meteor/meteor,https://github.com/meteor/meteor,2012-01-19,2022-02-18,42814,3106,1547,0,JavaScript,8686,8578
junegunn/fzf,https://github.com/junegunn/fzf,2013-10-23,2022-01-05,42206,577,307,14,Go,2079,1849
3b1b/manim,https://github.com/3b1b/manim,2015-03-22,2022-02-17,42197,684,483,8,Python,942,625
serverless/serverless,https://github.com/serverless/serverless,2015-04-21,2022-02-17,42154,4845,4083,311,JavaScript,5527,4690
wasabeef/awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,2014-12-24,2021-06-19,42108,223,89,0,,92,90
minimaxir/big-list-of-naughty-strings,https://github.com/minimaxir/big-list-of-naughty-strings,2015-08-08,2021-04-17,41953,153,90,0,Python,83,29
prettier/prettier,https://github.com/prettier/prettier,2016-11-29,2022-02-20,41951,6844,5757,79,JavaScript,5367,4559
tiangolo/fastapi,https://github.com/tiangolo/fastapi,2018-12-08,2022-02-17,41905,1543,805,117,Python,2704,1771
aymericdamien/TensorFlow-Examples,https://github.com/aymericdamien/TensorFlow-Examples,2015-11-11,2021-10-23,41651,163,88,0,Jupyter Notebook,226,68
square/okhttp,https://github.com/square/okhttp,2012-07-23,2022-02-20,41622,3406,2774,0,Kotlin,3571,3445
juliangarnier/anime,https://github.com/juliangarnier/anime,2016-03-13,2020-10-15,41608,151,71,14,JavaScript,638,480
lydiahallie/javascript-questions,https://github.com/lydiahallie/javascript-questions,2019-06-12,2022-01-22,41572,430,278,0,,188,128
git/git,https://github.com/git/git,2008-07-23,2022-02-18,41129,1038,3,0,C,0,0
prometheus/prometheus,https://github.com/prometheus/prometheus,2012-11-24,2022-02-17,41113,5758,4431,207,Go,4436,4011
microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,2020-11-10,2022-02-16,40889,373,304,0,JavaScript,177,171
ziishaned/learn-regex,https://github.com/ziishaned/learn-regex,2017-07-22,2022-02-01,40621,170,124,0,,79,33
yarnpkg/yarn,https://github.com/yarnpkg/yarn,2016-01-19,2022-01-30,40489,2273,1652,148,JavaScript,6333,4531
ColorlibHQ/AdminLTE,https://github.com/ColorlibHQ/AdminLTE,2013-12-25,2022-02-07,40468,1504,1009,72,JavaScript,2636,2594
babel/babel,https://github.com/babel/babel,2014-09-28,2022-02-19,40435,5764,4598,292,TypeScript,8036,7405
JetBrains/kotlin,https://github.com/JetBrains/kotlin,2012-02-13,2022-02-18,40408,4717,1936,179,Kotlin,0,0
deepfakes/faceswap,https://github.com/deepfakes/faceswap,2017-12-19,2022-01-15,40353,469,331,3,Python,732,710
parcel-bundler/parcel,https://github.com/parcel-bundler/parcel,2017-08-07,2022-02-18,40262,2460,1871,14,JavaScript,4415,3735
android/architecture-samples,https://github.com/android/architecture-samples,2016-02-05,2021-06-01,40190,375,176,0,Kotlin,414,284
astaxie/build-web-application-with-golang,https://github.com/astaxie/build-web-application-with-golang,2012-08-02,2021-11-28,39683,884,760,0,Go,289,181
TryGhost/Ghost,https://github.com/TryGhost/Ghost,2013-05-04,2022-02-20,39630,7831,6194,495,JavaScript,6273,6239
square/retrofit,https://github.com/square/retrofit,2010-09-06,2022-02-10,39548,1094,756,0,Java,2550,2421
Solido/awesome-flutter,https://github.com/Solido/awesome-flutter,2017-05-07,2022-02-02,39439,850,407,0,Dart,0,0
nuxt/nuxt.js,https://github.com/nuxt/nuxt.js,2016-10-26,2021-12-17,39437,2910,2340,150,JavaScript,6616,6151
prakhar1989/awesome-courses,https://github.com/prakhar1989/awesome-courses,2014-11-15,2020-12-02,39269,259,184,0,,64,34
v2ray/v2ray-core,https://github.com/v2ray/v2ray-core,2015-09-04,2020-11-13,39126,452,202,247,Go,2425,2407
vsouza/awesome-ios,https://github.com/vsouza/awesome-ios,2014-07-10,2021-08-09,39018,2607,2152,0,Swift,446,444
etcd-io/etcd,https://github.com/etcd-io/etcd,2013-07-06,2022-02-20,38855,8025,6586,208,Go,5669,5536
localstack/localstack,https://github.com/localstack/localstack,2016-10-25,2022-02-20,38770,2169,1963,45,Python,3308,2957
MunGell/awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,2015-10-24,2022-02-03,38741,923,329,0,,95,91
nwjs/nw.js,https://github.com/nwjs/nw.js,2012-01-04,2022-02-20,38729,798,564,0,JavaScript,7001,6129
Dogfalo/materialize,https://github.com/Dogfalo/materialize,2014-09-12,2020-06-01,38667,1436,449,41,JavaScript,5206,4582
gogs/gogs,https://github.com/gogs/gogs,2014-02-12,2022-02-14,38478,1805,1264,62,Go,4814,4051
JuliaLang/julia,https://github.com/JuliaLang/julia,2011-04-21,2022-02-20,38315,23015,18351,115,Julia,21008,17616
k88hudson/git-flight-rules,https://github.com/k88hudson/git-flight-rules,2014-07-22,2021-09-22,38311,266,208,0,,66,52
x64dbg/x64dbg,https://github.com/x64dbg/x64dbg,2015-04-11,2022-02-14,38109,689,555,3,C++,2101,1613
facebook/jest,https://github.com/facebook/jest,2013-12-10,2022-02-21,38039,5681,4411,151,TypeScript,6677,5168
iamkun/dayjs,https://github.com/iamkun/dayjs,2018-04-10,2021-12-16,37987,786,584,104,JavaScript,1015,649
vitejs/vite,https://github.com/vitejs/vite,2020-04-21,2022-02-20,37959,2228,1543,53,TypeScript,3421,2683
vercel/hyper,https://github.com/vercel/hyper,2016-07-01,2022-02-14,37903,2783,2313,75,TypeScript,3457,2713
karan/Projects,https://github.com/karan/Projects,2013-07-04,2020-11-24,37872,104,19,0,,65,32
DefinitelyTyped/DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,2012-10-05,2022-02-20,37837,50272,42198,1,TypeScript,7644,7091
anuraghazra/github-readme-stats,https://github.com/anuraghazra/github-readme-stats,2020-07-09,2022-02-20,37687,877,341,0,JavaScript,639,542
mozilla/pdf.js,https://github.com/mozilla/pdf.js,2011-04-26,2022-02-20,37649,6461,5483,40,JavaScript,8084,7750
bailicangdu/vue2-elm,https://github.com/bailicangdu/vue2-elm,2016-12-23,2021-09-13,37544,45,20,0,Vue,572,481
alacritty/alacritty,https://github.com/alacritty/alacritty,2016-02-18,2022-02-17,37537,1773,1391,71,Rust,4076,3782
binhnguyennus/awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,2017-12-27,2022-02-19,37432,65,25,0,,0,0
caddyserver/caddy,https://github.com/caddyserver/caddy,2015-01-13,2022-02-19,37329,1620,1291,91,Go,2864,2772
tldr-pages/tldr,https://github.com/tldr-pages/tldr,2013-12-08,2022-02-21,37329,6884,6102,2,Markdown,879,726
justjavac/awesome-wechat-weapp,https://github.com/justjavac/awesome-wechat-weapp,2016-09-22,2022-02-18,37195,285,257,0,,0,0
Alamofire/Alamofire,https://github.com/Alamofire/Alamofire,2014-07-31,2022-02-01,37141,958,529,88,Swift,2600,2569
danielmiessler/SecLists,https://github.com/danielmiessler/SecLists,2012-02-19,2022-02-02,37058,519,410,15,PHP,176,156
traefik/traefik,https://github.com/traefik/traefik,2015-09-13,2022-02-15,36933,3920,3331,355,Go,4826,4234
