nameWithOwner,url,createdAt,updatedAt,stargazers,pullRequests,acceptedPullRequests,releases,primaryLanguage,totalIssues,closedIssues
apache/dubbo,https://github.com/apache/dubbo,2012-06-19,2022-02-18,36837,4607,3072,45,Java,5003,4660
fighting41love/funNLP,https://github.com/fighting41love/funNLP,2018-08-21,2021-08-20,36622,18,9,0,Python,45,29
cypress-io/cypress,https://github.com/cypress-io/cypress,2015-03-04,2022-02-20,36620,4479,3544,260,JavaScript,9472,7459
impress/impress.js,https://github.com/impress/impress.js,2011-12-28,2022-02-13,36591,346,103,14,JavaScript,450,400
FreeCodeCampChina/freecodecamp.cn,https://github.com/FreeCodeCampChina/freecodecamp.cn,2016-09-30,2020-01-22,36539,71,55,0,CSS,585,444
hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch,2019-08-21,2022-02-20,36474,1284,867,14,Vue,713,672
Unitech/pm2,https://github.com/Unitech/pm2,2013-05-21,2022-02-17,36462,822,529,118,JavaScript,4478,3937
algorithm-visualizer/algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,2016-05-15,2021-11-30,36354,234,181,0,JavaScript,84,65
obsproject/obs-studio,https://github.com/obsproject/obs-studio,2013-10-01,2022-02-21,36333,3859,2420,152,C,1927,1448
styled-components/styled-components,https://github.com/styled-components/styled-components,2016-08-16,2022-02-14,36004,1153,833,112,TypeScript,2506,2436
fffaraz/awesome-cpp,https://github.com/fffaraz/awesome-cpp,2014-07-17,2022-02-14,35938,657,477,0,,507,164
bradtraversy/design-resources-for-developers,https://github.com/bradtraversy/design-resources-for-developers,2020-05-06,2022-02-20,35842,1023,747,0,,68,68
dcloudio/uni-app,https://github.com/dcloudio/uni-app,2018-07-12,2022-02-18,35833,280,192,0,JavaScript,2969,2072
ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,2013-12-26,2022-02-18,35639,7086,5116,155,Go,6216,6004
ocornut/imgui,https://github.com/ocornut/imgui,2014-07-21,2022-02-19,35631,907,280,78,C++,3811,3213
pixijs/pixijs,https://github.com/pixijs/pixijs,2013-01-21,2022-02-10,35549,3064,2286,147,TypeScript,4727,4627
getsentry/sentry,https://github.com/getsentry/sentry,2010-08-30,2022-02-18,30156,26757,24151,86,Python,4844,4537
nolimits4web/swiper,https://github.com/nolimits4web/swiper,2012-03-14,2022-02-14,30154,694,476,14,JavaScript,4270,4127
kelseyhightower/kubernetes-the-hard-way,https://github.com/kelseyhightower/kubernetes-the-hard-way,2016-07-07,2021-05-02,30139,341,69,0,,353,287
wagoodman/dive,https://github.com/wagoodman/dive,2018-05-13,2021-07-02,30077,139,115,24,Go,245,143
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,2013-06-03,2021-04-26,30021,222,35,0,C,5149,2492
google/styleguide,https://github.com/google/styleguide,2015-05-20,2022-02-10,29937,363,134,0,HTML,286,106
geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,2020-05-29,2022-02-14,29930,29,24,0,Java,36,32
nativefier/nativefier,https://github.com/nativefier/nativefier,2015-07-05,2022-02-15,29882,287,226,83,TypeScript,1065,887
carbon-app/carbon,https://github.com/carbon-app/carbon,2017-06-16,2022-02-20,29749,734,613,208,JavaScript,582,566
Eugeny/tabby,https://github.com/Eugeny/tabby,2016-12-23,2022-02-17,29748,2581,1158,153,TypeScript,2954,2170
jaredpalmer/formik,https://github.com/jaredpalmer/formik,2017-06-14,2022-01-04,29725,1170,743,170,TypeScript,2040,1478
GokuMohandas/MadeWithML,https://github.com/GokuMohandas/MadeWithML,2018-11-05,2022-02-07,29605,169,140,0,Jupyter Notebook,32,32
sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,2018-12-24,2022-02-06,29600,599,385,0,Python,583,510
eugenp/tutorials,https://github.com/eugenp/tutorials,2013-04-29,2022-02-19,29565,11281,8079,0,Java,561,533
serhii-londar/open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,2017-11-03,2021-11-19,29494,572,481,0,Swift,162,131
dkhamsing/open-source-ios-apps,https://github.com/dkhamsing/open-source-ios-apps,2015-01-26,2022-02-20,29434,778,680,36,Swift,232,231
AobingJava/JavaFamily,https://github.com/AobingJava/JavaFamily,2019-11-12,2021-09-13,29405,14,2,0,,58,58
marktext/marktext,https://github.com/marktext/marktext,2017-11-12,2022-02-20,29311,993,910,34,JavaScript,2050,1459
iina/iina,https://github.com/iina/iina,2016-12-19,2022-02-19,29280,678,386,38,Swift,2922,1683
foundation/foundation-sites,https://github.com/foundation/foundation-sites,2011-10-13,2021-12-05,29206,4073,2937,75,HTML,8121,8097
grpc/grpc,https://github.com/grpc/grpc,2014-12-08,2022-02-19,33401,18632,14963,189,C++,10035,9223
0voice/interview_internal_reference,https://github.com/0voice/interview_internal_reference,2019-06-10,2021-08-25,33378,44,35,0,Python,44,18
php/php-src,https://github.com/php/php-src,2011-06-16,2022-02-19,33332,7872,954,0,C,216,135
AFNetworking/AFNetworking,https://github.com/AFNetworking/AFNetworking,2011-05-31,2020-12-20,33287,1515,709,40,Objective-C,3121,3059
isocpp/CppCoreGuidelines,https://github.com/isocpp/CppCoreGuidelines,2015-08-19,2022-02-10,33247,910,711,4,Python,964,778
alvarotrigo/fullPage.js,https://github.com/alvarotrigo/fullPage.js,2013-09-20,2021-06-23,33216,478,268,70,JavaScript,3815,3624
dypsilon/frontend-dev-bookmarks,https://github.com/dypsilon/frontend-dev-bookmarks,2013-06-22,2018-03-22,33184,324,129,1,,96,79
shadowsocks/shadowsocks,https://github.com/shadowsocks/shadowsocks,2012-04-20,2015-08-22,33125,157,70,2,Python,0,0
Leaflet/Leaflet,https://github.com/Leaflet/Leaflet,2010-09-22,2022-02-18,32968,3262,2333,22,JavaScript,4702,4319
alex/what-happens-when,https://github.com/alex/what-happens-when,2013-11-07,2022-02-08,32903,217,108,0,,111,19
yangshun/front-end-interview-handbook,https://github.com/yangshun/front-end-interview-handbook,2018-01-13,2022-02-15,32841,242,210,0,JavaScript,75,61
videojs/video.js,https://github.com/videojs/video.js,2010-05-14,2022-02-08,32815,2829,1466,261,JavaScript,4687,4294
pandas-dev/pandas,https://github.com/pandas-dev/pandas,2010-08-24,2022-02-20,32798,23984,18498,84,Python,22081,18784
kamranahmedse/design-patterns-for-humans,https://github.com/kamranahmedse/design-patterns-for-humans,2017-02-16,2020-11-22,32792,75,47,0,,52,44
apachecn/ailearning,https://github.com/apachecn/ailearning,2017-02-25,2022-02-08,32711,520,467,2,Python,102,100
jakevdp/PythonDataScienceHandbook,https://github.com/jakevdp/PythonDataScienceHandbook,2016-08-10,2018-11-30,32663,165,28,0,Jupyter Notebook,151,65
Alvin9999/new-pac,https://github.com/Alvin9999/new-pac,2016-03-23,2022-02-20,32613,2,0,0,,1177,889
sharkdp/bat,https://github.com/sharkdp/bat,2018-04-21,2022-02-14,32589,1064,930,34,Rust,1002,881
sahat/hackathon-starter,https://github.com/sahat/hackathon-starter,2013-11-13,2021-01-14,32551,560,301,13,JavaScript,605,583
commaai/openpilot,https://github.com/commaai/openpilot,2016-11-24,2022-02-20,32523,5403,3876,43,Python,1444,1343
ngosang/trackerslist,https://github.com/ngosang/trackerslist,2016-04-24,2022-02-20,32471,40,1,0,,310,307
gulpjs/gulp,https://github.com/gulpjs/gulp,2013-07-04,2021-06-22,32459,657,395,22,JavaScript,1862,1836
airbnb/lottie-android,https://github.com/airbnb/lottie-android,2016-10-06,2022-01-25,32418,601,528,38,Java,1395,1377
shadowsocks/shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,2012-12-16,2021-12-22,32310,361,241,180,Kotlin,2369,2343
koajs/koa,https://github.com/koajs/koa,2013-07-20,2022-02-08,32308,745,435,0,JavaScript,860,827
BVLC/caffe,https://github.com/BVLC/caffe,2013-09-12,2020-02-13,32267,2235,1087,14,C++,4768,3882
tauri-apps/tauri,https://github.com/tauri-apps/tauri,2019-07-13,2022-02-19,32250,2183,1948,243,Rust,1016,893
bumptech/glide,https://github.com/bumptech/glide,2013-07-08,2022-02-19,32229,636,381,37,Java,4071,3748
exacity/deeplearningbook-chinese,https://github.com/exacity/deeplearningbook-chinese,2016-12-07,2019-11-10,32188,34,16,7,TeX,195,136
apache/spark,https://github.com/apache/spark,2014-02-25,2022-02-20,32096,35560,5,0,Scala,0,0
PowerShell/PowerShell,https://github.com/PowerShell/PowerShell,2016-01-13,2022-02-17,32029,6447,5258,107,C#,9870,6767
quilljs/quill,https://github.com/quilljs/quill,2012-07-30,2022-02-18,31987,530,215,82,JavaScript,2994,1884
google/material-design-lite,https://github.com/google/material-design-lite,2015-01-14,2017-06-27,31970,1176,655,14,HTML,2163,1802
zenorocha/clipboard.js,https://github.com/zenorocha/clipboard.js,2015-09-18,2022-02-18,31819,200,104,41,JavaScript,589,587
floodsung/Deep-Learning-Papers-Reading-Roadmap,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,2016-10-14,2022-02-07,31787,90,28,0,Python,47,4
immutable-js/immutable-js,https://github.com/immutable-js/immutable-js,2014-07-02,2021-12-13,31769,685,439,61,TypeScript,1203,1112
typescript-cheatsheets/react,https://github.com/typescript-cheatsheets/react,2018-06-02,2022-02-19,31758,298,253,0,JavaScript,158,157
lerna/lerna,https://github.com/lerna/lerna,2015-12-04,2021-06-02,31750,890,581,169,JavaScript,2186,1488
RocketChat/Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,2015-05-19,2022-02-18,31745,10269,7874,612,JavaScript,13933,11392
minio/minio,https://github.com/minio/minio,2015-01-14,2022-02-20,31740,7812,6974,297,Go,5778,5765
Developer-Y/cs-video-courses,https://github.com/Developer-Y/cs-video-courses,2016-10-21,2022-02-07,31718,122,93,0,,50,46
ventoy/Ventoy,https://github.com/ventoy/Ventoy,2020-03-10,2022-02-19,31656,214,90,68,C,1145,887
rclone/rclone,https://github.com/rclone/rclone,2014-03-16,2022-02-18,31439,1625,1198,81,Go,4321,3649
akullpp/awesome-java,https://github.com/akullpp/awesome-java,2014-07-09,2022-02-19,31409,842,605,0,,111,109
ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro,2017-08-25,2022-02-20,31388,1326,875,25,TypeScript,8132,7995
hashicorp/terraform,https://github.com/hashicorp/terraform,2014-03-13,2022-02-18,31328,12033,9820,198,Go,18216,16784
NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,2019-03-01,2022-02-18,31323,774,249,19,Java,2963,1844
wg/wrk,https://github.com/wg/wrk,2012-03-20,2021-02-07,31307,118,0,0,C,363,252
photonstorm/phaser,https://github.com/photonstorm/phaser,2013-04-12,2022-02-08,31284,2102,1454,120,JavaScript,3837,3695
iperov/DeepFaceLab,https://github.com/iperov/DeepFaceLab,2018-06-04,2022-01-03,31273,108,32,2,Python,1116,722
Kong/kong,https://github.com/Kong/kong,2014-11-17,2022-02-18,31264,4149,2889,114,Lua,3800,3571
preactjs/preact,https://github.com/preactjs/preact,2015-09-11,2022-02-20,31127,1853,1261,158,JavaScript,1474,1332
blueimp/jQuery-File-Upload,https://github.com/blueimp/jQuery-File-Upload,2010-12-01,2021-09-25,31092,371,119,0,PHP,3308,3259
Homebrew/brew,https://github.com/Homebrew/brew,2016-03-06,2022-02-19,31060,8761,7632,240,Ruby,3432,3413
XX-net/XX-Net,https://github.com/XX-net/XX-Net,2015-01-15,2022-02-18,31037,479,359,314,Python,12932,5176
jondot/awesome-react-native,https://github.com/jondot/awesome-react-native,2015-03-26,2021-04-25,31024,1021,912,0,JavaScript,64,34
open-guides/og-aws,https://github.com/open-guides/og-aws,2016-07-13,2022-02-17,30855,572,492,0,Shell,218,86
Trinea/android-open-project,https://github.com/Trinea/android-open-project,2014-01-05,2020-02-16,30843,284,201,0,,80,68
facebook/docusaurus,https://github.com/facebook/docusaurus,2017-06-20,2022-02-20,30813,4167,3698,111,TypeScript,2075,1927
evanw/esbuild,https://github.com/evanw/esbuild,2016-06-14,2022-02-18,30625,261,162,154,Go,1749,1548
testerSunshine/12306,https://github.com/testerSunshine/12306,2017-05-17,2021-01-04,30589,142,31,1,Python,674,465
NervJS/taro,https://github.com/NervJS/taro,2018-04-08,2022-02-19,30512,2709,1987,113,TypeScript,8297,7510
pingcap/tidb,https://github.com/pingcap/tidb,2015-09-06,2022-02-20,30455,21735,18182,141,Go,10719,8402
Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,2016-07-30,2021-12-06,30431,192,79,116,Java,1396,1244
google-research/bert,https://github.com/google-research/bert,2018-10-25,2020-03-11,30427,184,32,0,Python,1094,342
faif/python-patterns,https://github.com/faif/python-patterns,2012-06-06,2022-02-19,30287,310,254,0,Python,75,64
d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh,2017-08-23,2022-02-05,30236,1085,920,14,Python,0,0
dylanaraps/pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,2018-06-13,2020-10-21,30230,54,28,0,Shell,63,30
agalwood/Motrix,https://github.com/agalwood/Motrix,2018-12-18,2022-02-13,30196,190,144,14,JavaScript,944,475
shadowsocks/ShadowsocksX-NG,https://github.com/shadowsocks/ShadowsocksX-NG,2016-06-10,2021-06-25,30162,113,60,26,Swift,1271,1024
xitu/gold-miner,https://github.com/xitu/gold-miner,2015-11-04,2022-02-19,30157,3806,3439,0,,5414,5387
getsentry/sentry,https://github.com/getsentry/sentry,2010-08-30,2022-02-18,30156,26757,24151,86,Python,4844,4537
nolimits4web/swiper,https://github.com/nolimits4web/swiper,2012-03-14,2022-02-14,30154,694,476,14,JavaScript,4270,4127
kelseyhightower/kubernetes-the-hard-way,https://github.com/kelseyhightower/kubernetes-the-hard-way,2016-07-07,2021-05-02,30139,341,69,0,,353,287
wagoodman/dive,https://github.com/wagoodman/dive,2018-05-13,2021-07-02,30077,139,115,24,Go,245,143
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,2013-06-03,2021-04-26,30021,222,35,0,C,5149,2492
google/styleguide,https://github.com/google/styleguide,2015-05-20,2022-02-10,29937,363,134,0,HTML,286,106
geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,2020-05-29,2022-02-14,29930,29,24,0,Java,36,32
nativefier/nativefier,https://github.com/nativefier/nativefier,2015-07-05,2022-02-15,29882,287,226,83,TypeScript,1065,887
carbon-app/carbon,https://github.com/carbon-app/carbon,2017-06-16,2022-02-20,29749,734,613,208,JavaScript,582,566
Eugeny/tabby,https://github.com/Eugeny/tabby,2016-12-23,2022-02-17,29748,2581,1158,153,TypeScript,2954,2170
jaredpalmer/formik,https://github.com/jaredpalmer/formik,2017-06-14,2022-01-04,29725,1170,743,170,TypeScript,2040,1478
golang-standards/project-layout,https://github.com/golang-standards/project-layout,2017-09-09,2021-08-22,29685,82,45,0,Makefile,75,25
GokuMohandas/MadeWithML,https://github.com/GokuMohandas/MadeWithML,2018-11-05,2022-02-07,29605,169,140,0,Jupyter Notebook,32,32
sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,2018-12-24,2022-02-06,29600,599,385,0,Python,583,510
eugenp/tutorials,https://github.com/eugenp/tutorials,2013-04-29,2022-02-19,29565,11281,8079,0,Java,561,533
istio/istio,https://github.com/istio/istio,2016-11-18,2022-02-19,29556,22147,17027,235,Go,15227,14667
BurntSushi/ripgrep,https://github.com/BurntSushi/ripgrep,2016-03-11,2021-11-22,29495,627,418,66,Rust,1312,1205
serhii-londar/open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,2017-11-03,2021-11-19,29494,572,481,0,Swift,162,131
dkhamsing/open-source-ios-apps,https://github.com/dkhamsing/open-source-ios-apps,2015-01-26,2022-02-20,29434,778,680,36,Swift,232,231
AobingJava/JavaFamily,https://github.com/AobingJava/JavaFamily,2019-11-12,2021-09-13,29405,14,2,0,,58,58
marktext/marktext,https://github.com/marktext/marktext,2017-11-12,2022-02-20,29311,993,910,34,JavaScript,2050,1459
iina/iina,https://github.com/iina/iina,2016-12-19,2022-02-19,29280,678,386,38,Swift,2922,1683
foundation/foundation-sites,https://github.com/foundation/foundation-sites,2011-10-13,2021-12-05,29206,4073,2937,75,HTML,8121,8097
zxing/zxing,https://github.com/zxing/zxing,2011-10-12,2022-02-17,29179,321,192,27,Java,1142,1136
microsoft/ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,2021-03-03,2022-02-16,29140,341,281,0,Jupyter Notebook,119,119
skylot/jadx,https://github.com/skylot/jadx,2013-03-18,2022-02-20,29084,357,307,18,Java,1016,819
SheetJS/sheetjs,https://github.com/SheetJS/sheetjs,2012-12-03,2022-02-15,29081,284,99,0,JavaScript,2147,2083
joshbuchea/HEAD,https://github.com/joshbuchea/HEAD,2016-04-20,2021-05-29,29052,146,86,0,,85,73
brillout/awesome-react-components,https://github.com/brillout/awesome-react-components,2016-06-24,2022-02-19,29018,297,246,0,,41,40
vuejs/vue-cli,https://github.com/vuejs/vue-cli,2015-12-26,2022-02-17,29000,1717,1246,166,JavaScript,5185,4410
gorhill/uBlock,https://github.com/gorhill/uBlock,2015-04-01,2022-02-19,28926,334,196,235,JavaScript,3451,3416
lukehoban/es6features,https://github.com/lukehoban/es6features,2014-03-03,2016-07-24,28821,76,41,0,,55,36
unknwon/the-way-to-go_ZH_CN,https://github.com/unknwon/the-way-to-go_ZH_CN,2013-03-24,2022-02-09,28819,654,569,0,Go,0,0
formulahendry/955.WLB,https://github.com/formulahendry/955.WLB,2019-03-27,2022-02-19,28801,57,16,0,,229,67
google/zx,https://github.com/google/zx,2021-05-05,2022-02-20,28754,96,44,31,JavaScript,186,182
nlohmann/json,https://github.com/nlohmann/json,2013-07-04,2022-02-18,28744,719,514,40,C++,1958,1929
ariya/phantomjs,https://github.com/ariya/phantomjs,2010-12-27,2020-07-13,28739,1134,562,0,C++,4735,4721
certbot/certbot,https://github.com/certbot/certbot,2014-11-12,2022-02-17,28679,4209,3401,26,Python,4964,4434
netty/netty,https://github.com/netty/netty,2010-11-09,2022-02-18,28584,6288,2366,0,Java,5731,5266
bayandin/awesome-awesomeness,https://github.com/bayandin/awesome-awesomeness,2014-07-08,2021-11-15,28558,394,195,0,Ruby,60,49
alibaba/arthas,https://github.com/alibaba/arthas,2018-08-29,2022-01-24,28442,607,381,38,Java,1454,1276
google/leveldb,https://github.com/google/leveldb,2014-08-27,2022-01-17,28436,309,56,21,C++,660,511
go-gitea/gitea,https://github.com/go-gitea/gitea,2016-11-01,2022-02-21,28390,10067,8875,137,Go,8589,6808
supabase/supabase,https://github.com/supabase/supabase,2019-10-12,2022-02-19,28366,1525,1270,18,TypeScript,1013,822
CSSEGISandData/COVID-19,https://github.com/CSSEGISandData/COVID-19,2020-02-04,2022-02-20,28340,1948,1371,0,,3426,1856
FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,2011-04-14,2022-02-20,28296,379,16,11,C,0,0
react-boilerplate/react-boilerplate,https://github.com/react-boilerplate/react-boilerplate,2015-02-18,2019-04-18,28278,1173,715,16,JavaScript,1870,1813
satwikkansal/wtfpython,https://github.com/satwikkansal/wtfpython,2017-08-28,2022-01-17,28238,118,89,2,Python,156,112
microsoft/monaco-editor,https://github.com/microsoft/monaco-editor,2016-06-07,2022-02-14,28234,215,150,0,JavaScript,2689,2096
chubin/cheat.sh,https://github.com/chubin/cheat.sh,2017-05-07,2022-01-01,28233,136,121,0,Python,191,103
laurent22/joplin,https://github.com/laurent22/joplin,2017-01-16,2022-02-20,28199,1808,1279,253,TypeScript,4335,4035
streamich/react-use,https://github.com/streamich/react-use,2018-10-27,2021-12-30,28125,1836,1465,247,TypeScript,463,210
date-fns/date-fns,https://github.com/date-fns/date-fns,2014-10-06,2022-02-07,28103,1400,995,101,TypeScript,1363,1080
jeecgboot/jeecg-boot,https://github.com/jeecgboot/jeecg-boot,2018-11-26,2022-02-18,27902,140,12,17,Java,2893,2854
fxsjy/jieba,https://github.com/fxsjy/jieba,2012-09-29,2020-02-15,27896,162,96,9,Python,792,208
koalaman/shellcheck,https://github.com/koalaman/shellcheck,2012-11-17,2022-02-04,27887,312,247,27,Haskell,2128,1393
jashkenas/backbone,https://github.com/jashkenas/backbone,2010-09-30,2022-02-19,27849,1844,856,0,JavaScript,2393,2350
jgraph/drawio,https://github.com/jgraph/drawio,2016-09-06,2022-02-17,27819,136,31,635,JavaScript,2271,2026
beego/beego,https://github.com/beego/beego,2012-02-29,2022-02-06,27749,1726,1092,12,Go,3119,3098
freeCodeCamp/devdocs,https://github.com/freeCodeCamp/devdocs,2013-10-24,2022-02-19,27737,708,410,0,Ruby,977,879
tastejs/todomvc,https://github.com/tastejs/todomvc,2011-06-03,2020-10-08,27683,1295,719,5,JavaScript,756,628
codepath/android_guides,https://github.com/codepath/android_guides,2013-06-19,2021-07-31,27675,22,10,0,,371,216
vuejs/core,https://github.com/vuejs/core,2018-06-12,2022-02-14,27648,2766,1659,116,TypeScript,2651,2339
shengxinjing/programmer-job-blacklist,https://github.com/shengxinjing/programmer-job-blacklist,2016-06-25,2019-03-28,27611,42,16,0,Shell,322,179
metabase/metabase,https://github.com/metabase/metabase,2015-02-02,2022-02-19,27528,10135,8789,252,Clojure,10505,8443
mathiasbynens/dotfiles,https://github.com/mathiasbynens/dotfiles,2011-09-05,2021-03-30,27476,596,44,0,Shell,370,238
gto76/python-cheatsheet,https://github.com/gto76/python-cheatsheet,2018-01-25,2022-02-16,27470,70,13,0,Python,39,35
caolan/async,https://github.com/caolan/async,2010-06-01,2022-02-01,27455,715,453,7,JavaScript,1097,1091
poteto/hiring-without-whiteboards,https://github.com/poteto/hiring-without-whiteboards,2017-03-15,2022-02-20,27403,1182,1052,0,JavaScript,0,0
Fndroid/clash_for_windows_pkg,https://github.com/Fndroid/clash_for_windows_pkg,2018-10-18,2021-12-17,25561,4,2,153,,2455,2355
hasura/graphql-engine,https://github.com/hasura/graphql-engine,2018-06-18,2022-02-18,25555,3131,2100,115,Haskell,4629,3058
tannerlinsley/react-query,https://github.com/tannerlinsley/react-query,2019-09-10,2022-02-20,25553,945,815,319,TypeScript,866,845
naptha/tesseract.js,https://github.com/naptha/tesseract.js,2015-06-24,2021-08-28,25540,118,83,33,JavaScript,477,373
niklasvh/html2canvas,https://github.com/niklasvh/html2canvas,2011-07-16,2022-01-22,25462,440,186,45,TypeScript,2322,1619
acmesh-official/acme.sh,https://github.com/acmesh-official/acme.sh,2015-12-26,2022-02-04,25449,1631,1079,35,Shell,2300,1608
VincentGarreau/particles.js,https://github.com/VincentGarreau/particles.js,2014-09-06,2017-03-25,25435,103,21,6,JavaScript,376,89
QSCTech/zju-icicles,https://github.com/QSCTech/zju-icicles,2016-06-28,2022-01-15,25415,165,134,0,HTML,46,40
request/request,https://github.com/request/request,2011-01-23,2020-02-11,25414,1165,650,0,JavaScript,2218,2130
denysdovhan/wtfjs,https://github.com/denysdovhan/wtfjs,2017-07-14,2021-06-07,25374,116,83,17,JavaScript,90,85
spf13/cobra,https://github.com/spf13/cobra,2013-09-03,2022-02-17,25319,754,412,15,Go,845,618
rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb,2012-10-30,2022-02-20,25243,625,391,69,C++,6348,4938
select2/select2,https://github.com/select2/select2,2012-03-04,2021-11-16,25231,1457,688,29,JavaScript,4684,4618
angular/angular-cli,https://github.com/angular/angular-cli,2015-06-04,2022-02-18,25214,8901,6965,471,TypeScript,13507,13257
github/fetch,https://github.com/github/fetch,2014-10-13,2021-12-08,25181,288,146,38,JavaScript,587,572
google/googletest,https://github.com/google/googletest,2015-07-28,2022-02-17,25174,1732,711,3,C++,1884,1703
Modernizr/Modernizr,https://github.com/Modernizr/Modernizr,2009-09-25,2021-10-19,25144,1199,786,25,JavaScript,1468,1307
alibaba/druid,https://github.com/alibaba/druid,2011-11-03,2022-02-14,25122,1197,935,43,Java,3465,1322
tabler/tabler,https://github.com/tabler/tabler,2018-02-01,2022-02-19,25098,458,222,30,HTML,517,461
danielgindi/Charts,https://github.com/danielgindi/Charts,2015-03-20,2021-12-31,25019,820,388,33,Swift,3951,3215
openai/gym,https://github.com/openai/gym,2016-04-27,2022-02-20,26528,1147,775,9,Python,1482,1390
symfony/symfony,https://github.com/symfony/symfony,2010-01-04,2022-02-19,26516,27528,18119,346,PHP,17078,16528
junegunn/vim-plug,https://github.com/junegunn/vim-plug,2013-09-10,2022-01-03,26512,241,161,5,Vim script,904,829
ReactiveX/rxjs,https://github.com/ReactiveX/rxjs,2015-03-15,2022-02-20,26494,3618,2364,0,TypeScript,2986,2794
amix/vimrc,https://github.com/amix/vimrc,2012-05-29,2022-02-06,26420,210,89,0,Vim script,476,452
rapid7/metasploit-framework,https://github.com/rapid7/metasploit-framework,2011-08-30,2022-02-17,26418,10987,8973,0,Ruby,4967,4495
fzaninotto/Faker,https://github.com/fzaninotto/Faker,2011-10-14,2020-12-11,26363,1504,824,12,PHP,570,494
jashkenas/underscore,https://github.com/jashkenas/underscore,2009-10-25,2021-12-20,26327,1534,730,0,JavaScript,1397,1367
apolloconfig/apollo,https://github.com/apolloconfig/apollo,2016-03-04,2022-02-18,26319,1373,1152,34,Java,2716,2600
airbnb/lottie-web,https://github.com/airbnb/lottie-web,2015-02-20,2022-01-23,26303,167,97,0,JavaScript,2545,1773
elsewhencode/project-guidelines,https://github.com/elsewhencode/project-guidelines,2017-06-30,2022-02-07,26298,125,110,0,JavaScript,37,28
laravel/framework,https://github.com/laravel/framework,2013-01-10,2022-02-18,26292,23496,12012,484,PHP,15733,15730
atlassian/react-beautiful-dnd,https://github.com/atlassian/react-beautiful-dnd,2017-08-09,2022-02-10,26260,924,521,67,JavaScript,1440,998
react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form,2019-03-05,2022-02-19,26244,1846,1566,455,TypeScript,2970,2970
ziadoz/awesome-php,https://github.com/ziadoz/awesome-php,2013-11-26,2022-02-16,26238,1031,379,0,,119,117
vim/vim,https://github.com/vim/vim,2015-08-18,2022-02-20,26236,3833,3,0,Vim script,5957,4871
composer/composer,https://github.com/composer/composer,2011-06-08,2022-02-19,26232,3424,2421,137,PHP,6927,6770
pyenv/pyenv,https://github.com/pyenv/pyenv,2012-08-31,2022-02-04,26206,781,620,54,Roff,1401,1363
Tencent/weui,https://github.com/Tencent/weui,2014-12-18,2021-12-10,26129,253,177,28,HTML,647,606
mitmproxy/mitmproxy,https://github.com/mitmproxy/mitmproxy,2010-02-16,2022-02-14,26054,2262,1810,43,Python,2754,2505
jesseduffield/lazygit,https://github.com/jesseduffield/lazygit,2018-05-19,2022-02-05,25974,789,668,134,Go,930,663
raywenderlich/swift-algorithm-club,https://github.com/raywenderlich/swift-algorithm-club,2016-01-26,2022-01-06,25971,786,608,0,Swift,206,180
2dust/v2rayN,https://github.com/2dust/v2rayN,2019-07-30,2022-02-20,25963,105,42,87,C#,1834,1817
webtorrent/webtorrent,https://github.com/webtorrent/webtorrent,2013-10-15,2022-02-17,25955,712,540,50,JavaScript,1490,1392
houshanren/hangzhou_house_knowledge,https://github.com/houshanren/hangzhou_house_knowledge,2018-02-24,2019-11-16,25953,13,4,0,CSS,0,0
postcss/postcss,https://github.com/postcss/postcss,2013-09-24,2022-02-09,25908,831,670,218,TypeScript,855,843
mqyqingfeng/Blog,https://github.com/mqyqingfeng/Blog,2017-03-13,2022-02-17,25896,7,3,0,,255,92
IanLunn/Hover,https://github.com/IanLunn/Hover,2014-01-02,2020-07-16,25838,62,22,10,CSS,102,82
sequelize/sequelize,https://github.com/sequelize/sequelize,2010-07-22,2022-02-20,25724,4428,3042,392,JavaScript,9601,8819
JakeWharton/butterknife,https://github.com/JakeWharton/butterknife,2013-03-05,2020-09-04,25715,489,346,0,Java,1169,1074
